2485,boxer briefs,clothing,28.99,4
1849,Dove Deodorant,Men's Grooming,2.99,8
3928,Paper Towels,Household Supplies,20.98,5
4947,LED light bulbs ,Lighting ,20.95,10
5080,Tech Armor Cleaning Kit,Accessories & Suplies ,14.95,15
8393,10 Teas Sampler,Grocery & Gourmet Food,19.7,24
7393,Toilet Paper -24 Double rolls,Household Supplies,9.99,12
6948,Nabob colombian coffee,Grocery & Gourmet Food,7.98,17
4930,Gain laundry detergent pods,Household Supplies,17.88,8
9482,Philips OneBlad Trimmer,Men's Grooming,34.99,11
